id,typeId,name,floor,width,length,height,measure,area,volume,state,created,updated
690b246d288cf12e2c556796,690b2160288cf12e2c4f27de,bk2m22,2,1,1,1,,1,1,occupied,2025-11-05 11:18:21,2025-11-24 16:55:49
690b246d3916b12eeda1544a,690b2160288cf12e2c4f27de,bk2m7,2,1,1,1,,1,1,available,2025-11-05 11:18:21,2026-01-12 10:56:38
690b246e3916b12eeda154e3,690b2160288cf12e2c4f27de,bk2m9,2,1,1,1,,1,1,blocked,2025-11-05 11:18:22,2025-11-26 13:39:47
690b246e288cf12e2c556941,690b2160288cf12e2c4f27de,bk3m10,2,1,1,1,,1,1,occupied,2025-11-05 11:18:22,2025-12-23 11:52:32
690b246e288cf12e2c5569e2,690b2160288cf12e2c4f27de,bk3m3,2,1,1,1,,1,1,occupied,2025-11-05 11:18:22,2025-11-24 16:55:51
690b246e3916b12eeda156c8,690b2160288cf12e2c4f27de,bk3m4,2,1,1,1,,1,1,occupied,2025-11-05 11:18:22,2025-11-24 16:55:51
690b246f3916b12eeda15717,690b2160288cf12e2c4f27de,bk4m10,2,1,1,1,,1,1,occupied,2025-11-05 11:18:23,2025-11-24 16:55:52
690b246f288cf12e2c556b13,690b2160288cf12e2c4f27de,bk4m2,1,2,5,1,,10,10,occupied,2025-11-05 11:18:23,2026-01-05 13:14:38
690b246f288cf12e2c556b62,690b2160288cf12e2c4f27de,bk4m6,2,1,1,1,,1,1,occupied,2025-11-05 11:18:23,2025-11-24 16:55:54
690b246f288cf12e2c556c3b,690b2160288cf12e2c4f27de,bk5m10,2,1,1,1,,1,1,occupied,2025-11-05 11:18:23,2026-01-08 09:40:50
690b246f3916b12eeda15aa0,690b2160288cf12e2c4f27de,bk5m2,2,1,1,1,,1,1,blocked,2025-11-05 11:18:23,2025-11-25 10:34:31
690b2470288cf12e2c556e9e,690b2160288cf12e2c4f27de,bk6m1,2,1,1,1,,1,1,occupied,2025-11-05 11:18:24,2026-01-19 11:40:20
690b24703916b12eeda15d1c,690b2160288cf12e2c4f27de,bk6m3,2,1,1,1,,1,1,occupied,2025-11-05 11:18:24,2026-01-26 10:16:37
690b2470288cf12e2c556fd4,690b2160288cf12e2c4f27de,bk6m4,2,1,1,1,,1,1,occupied,2025-11-05 11:18:24,2025-11-24 16:55:57
690b24713916b12eeda15ea4,690b2160288cf12e2c4f27de,bk6m5,2,1,1,1,,1,1,occupied,2025-11-05 11:18:25,2025-11-24 16:55:58
690b2471288cf12e2c557459,690b2160288cf12e2c4f27de,bk7.5m1,2,1,1,1,,1,1,blocked,2025-11-05 11:18:25,2025-11-25 10:48:20
690b24723916b12eeda1615d,690b2160288cf12e2c4f27de,bk9m,2,1,1,1,,1,1,occupied,2025-11-05 11:18:26,2025-11-24 16:55:58
690b24723916b12eeda161ac,690b2160288cf12e2c4f27de,bulk12.5_1,2,1,1,1,,1,1,occupied,2025-11-05 11:18:26,2025-12-29 10:20:59
690b2472288cf12e2c5575a7,690b2160288cf12e2c4f27de,bulk1m,2,1,1,1,,1,1,available,2025-11-05 11:18:26,2026-01-16 13:36:52
6909d7ef26c223f960ef9afc,69089c436cf086dbba651048,c3001,0,3,1.5,2.7,,4.5,12.15,occupied,2025-11-04 11:39:43,2025-11-24 17:13:38
6909d7f026c223f960ef9da9,69089c436cf086dbba650f67,c3002,0,1.86,1.47,2.7,,2.73,7.38,occupied,2025-11-04 11:39:44,2025-11-24 16:56:01
6909d7f01d16f0070c63d03e,6909d6bb26c223f960eacd72,c3003,0,2.5,2,2.7,,5,13.5,occupied,2025-11-04 11:39:44,2026-01-19 10:57:05
6909d7f01d16f0070c63d1d0,6909d6bb26c223f960eacdab,c3004,0,3.05,2,2.7,,6.1,16.47,occupied,2025-11-04 11:39:44,2025-11-24 16:56:02
6909d7f01d16f0070c63d21b,6909d6bb26c223f960eacd72,c3005,0,2.5,2,2.7,,5,13.5,occupied,2025-11-04 11:39:44,2025-11-24 16:56:03
6909d7f01d16f0070c63d262,690750a37c0a06dc20f9391c,c3006,0,2.75,3.4,2.7,,9.35,25.25,occupied,2025-11-04 11:39:44,2025-11-24 16:56:03
6909d7f11d16f0070c63d2ed,69089c441cb2a76b3b94bb86,c3007,0,3.5,1.5,2.7,,5.25,14.18,occupied,2025-11-04 11:39:45,2025-11-24 16:56:04
6909d7f11d16f0070c63d380,690750a47c0a06dc20f93991,c3008,0,1.8,3.5,2.7,,6.3,17.01,occupied,2025-11-04 11:39:45,2025-12-09 11:01:12
6909d7f126c223f960efa1d2,690750a2dcb2b6de52ecf04a,c3009,0,2.9,3.5,2.7,,10.15,27.41,occupied,2025-11-04 11:39:45,2026-01-25 13:01:32
6909d7f126c223f960efa221,6909f70fa433690a11909ace,c3010,0,2.2,3.5,2.7,,7.7,20.79,blocked,2025-11-04 11:39:45,2025-12-01 10:25:45
6909d7f126c223f960efa2b4,6909d6bc26c223f960eadbf0,c3011,0,1.8,2.4,2.7,,4.32,11.66,blocked,2025-11-04 11:39:45,2025-12-01 11:54:17
6909d7f226c223f960efa303,6909d6bc26c223f960eadbf0,c3012,0,1.8,2.4,2.7,,4.32,11.66,occupied,2025-11-04 11:39:46,2025-11-24 16:56:06
6909d7f21d16f0070c63d5a2,690750a47c0a06dc20f93991,c3013,0,2.7,2.3,2.7,,6.21,16.77,occupied,2025-11-04 11:39:46,2025-11-24 16:56:07
6909d7f21d16f0070c63d638,6909d6bc26c223f960eadc62,c3014,0,4.5,2.9,2.7,,13.05,35.24,occupied,2025-11-04 11:39:46,2026-01-19 16:23:41
6909f7b9b5f883653c9999ee,6909d6bc26c223f960eadbf0,d4000,0,2.29,1.5,2.7,,3.44,9.27,occupied,2025-11-04 13:55:21,2026-01-17 14:15:08
6909f7baa433690a1192373d,69089c436cf086dbba651048,d4001,0,2.29,2,2.7,,4.58,12.37,occupied,2025-11-04 13:55:22,2025-11-24 16:56:09
6909f7baa433690a1192378c,69089c441cb2a76b3b94bb4d,d4002,0,4.24,2.72,2.7,,11.53,31.14,occupied,2025-11-04 13:55:22,2025-11-24 16:56:10
6909f7bab5f883653c999b5f,6907461adcb2b6de52c7e3f6,d4003,0,3.66,2.68,2.7,,9.81,26.48,occupied,2025-11-04 13:55:22,2025-11-24 16:56:11
6909f7baa433690a119237d3,6909f70fa433690a11909ace,d4004,0,2.85,2.72,2.7,,7.75,20.93,occupied,2025-11-04 13:55:22,2025-11-24 16:56:11
6909f7bba433690a1192381a,690750a37c0a06dc20f9393a,d4005,0,2.82,2.68,2.7,,7.56,20.41,occupied,2025-11-04 13:55:23,2026-01-16 16:27:13
6909f7bbb5f883653c999c97,6909f710b5f883653c97c5eb,d4006,0,2.73,2.72,2.7,,7.43,20.05,occupied,2025-11-04 13:55:23,2025-12-08 16:15:56
6909f7bbb5f883653c999d1e,6909f710a433690a11909b07,d4007,0,2.93,2.68,2.7,,7.85,21.2,occupied,2025-11-04 13:55:23,2025-12-19 16:04:52
6909f7bbb5f883653c999da5,6909f710b5f883653c97c624,d4008,0,2.5,3,2.7,,7.5,20.25,occupied,2025-11-04 13:55:23,2025-11-24 16:56:14
6909f7bbb5f883653c999eda,6909f710b5f883653c97c5eb,d4009,0,2.74,2.68,2.7,,7.34,19.83,occupied,2025-11-04 13:55:23,2025-11-24 16:56:15
6909f7bca433690a119238a1,690750a37c0a06dc20f9391c,d4011,0,3.5,2.68,2.7,,9.38,25.33,occupied,2025-11-04 13:55:24,2025-11-24 16:56:15
6909f7bca433690a11923928,690750a37c0a06dc20f9391c,d4013,0,3.5,2.68,2.7,,9.38,25.33,occupied,2025-11-04 13:55:24,2026-01-21 14:25:39
6909f7bcb5f883653c999f61,69089c431cb2a76b3b94ba6c,d4015,0,3.25,2.68,2.7,,8.71,23.52,occupied,2025-11-04 13:55:24,2025-11-24 16:56:17
6909f7bca433690a119239af,6909f710a433690a11909b40,d4016,0,2.95,2,2.7,,5.9,15.93,occupied,2025-11-04 13:55:24,2026-01-20 13:13:23
6909f7bcb5f883653c999fe8,690750a4dcb2b6de52ecfb60,d4017,0,1.8,1.43,2.7,,2.57,6.95,occupied,2025-11-04 13:55:24,2026-01-05 12:44:45
6909f7bda433690a11923a36,6909f711a433690a11909bb2,d4018,0,1.6,2,2.7,,3.2,8.64,occupied,2025-11-04 13:55:25,2025-12-12 11:19:50
6909f7bda433690a11923abd,6909f711a433690a11909beb,d4019,0,1.69,1.43,2.7,,2.42,6.53,occupied,2025-11-04 13:55:25,2025-11-24 16:56:20
6909f7bda433690a11923cee,6909f711a433690a11909c24,d4020,0,2,1,2.7,,2,5.4,occupied,2025-11-04 13:55:25,2026-01-19 10:01:36
6909f7bda433690a11923d75,6909f711b5f883653c97c73e,d4021,0,3.3,2,2.7,,6.6,17.82,occupied,2025-11-04 13:55:25,2025-11-24 16:56:21
6909f7bda433690a11923dfc,690750a37c0a06dc20f938fe,d4022,0,1.72,2,2.7,,3.44,9.29,occupied,2025-11-04 13:55:25,2026-01-23 18:02:50
6909f7bea433690a11923f2a,6909f711a433690a11909c98,d4023,0,2,0.9,2.7,,1.8,4.86,occupied,2025-11-04 13:55:26,2025-11-24 16:56:23
6909f7bea433690a11923fb1,6909f710a433690a11909b40,d4024,0,2.95,2,2.7,,5.9,15.93,occupied,2025-11-04 13:55:26,2026-01-27 13:21:10
6909f7beb5f883653c99a122,690750a37c0a06dc20f938fe,d4025,0,1.73,2,2.7,,3.46,9.34,occupied,2025-11-04 13:55:26,2026-01-13 10:03:38
690dd0b3dd78b46b0822f8a4,6909d6bc26c223f960eadbf0,f6001,1,1.82,2.33,2.7,,4.24,11.45,occupied,2025-11-07 11:57:55,2026-01-20 13:20:20
690dd0b46134045e0b1f3f9a,690dcfaa6134045e0b188ce0,f6002,1,2,1.82,2.7,,3.64,9.83,blocked,2025-11-07 11:57:56,2026-01-16 15:48:01
690dd0b46134045e0b1f3fea,690dcfaa6134045e0b188ce0,f6003,1,2,1.82,2.7,,3.64,9.83,available,2025-11-07 11:57:56,2026-01-16 15:48:35
690dd0b4dd78b46b0823199c,690dcfaa6134045e0b188ce0,f6004,1,2,1.82,2.7,,3.64,9.83,available,2025-11-07 11:57:56,2026-01-16 15:48:57
690dd0b46134045e0b1f4083,690dcfaa6134045e0b188ce0,f6005,1,1.82,2,2.7,,3.64,9.83,available,2025-11-07 11:57:56,2026-01-16 15:49:32
690dd0b5dd78b46b08231a35,690dcfaa6134045e0b188ce0,f6007,1,1.35,1.93,2.7,,2.61,7.03,available,2025-11-07 11:57:57,2026-01-21 13:39:28
690dd0b56134045e0b1f419a,690750a4dcb2b6de52ecfb60,f6008,1,1.35,1.93,2.7,,2.61,7.03,occupied,2025-11-07 11:57:57,2026-01-08 12:27:42
690dd0b5dd78b46b08231c0a,6909d6bb26c223f960eacdab,f6009,1,1.95,3.08,2.7,,6.01,16.22,available,2025-11-07 11:57:57,2026-01-22 15:54:37
690dd0b56134045e0b1f423e,690750a37c0a06dc20f938fe,f6010,1,1.9,1.85,2.7,,3.52,9.49,occupied,2025-11-07 11:57:57,2025-12-18 19:19:33
690dd0b5dd78b46b08231cad,690750a37c0a06dc20f938fe,f6011,1,1.85,1.85,2.7,,3.42,9.24,occupied,2025-11-07 11:57:57,2025-12-27 14:29:45
690dd0b66134045e0b1f432c,690dcf556134045e0b181598,f6012,1,1.5,1.9,2.7,,2.85,7.69,occupied,2025-11-07 11:57:58,2026-01-15 12:01:17
690dd0b6dd78b46b08231d4e,690dcf556134045e0b181598,f6013,1,1.5,1.9,2.7,,2.85,7.69,occupied,2025-11-07 11:57:58,2026-01-26 11:21:14
690dd0b6dd78b46b08231d9e,690dcf556134045e0b181598,f6014,1,1.5,1.9,2.7,,2.85,7.69,available,2025-11-07 11:57:58,2025-12-15 11:12:27
690dd0b66134045e0b1f4e5a,69089c436cf086dbba650fd9,f6015,1,1.95,1.95,2.7,,3.8,10.27,available,2025-11-07 11:57:58,2026-01-20 14:08:32
690dd0b7dd78b46b08231e87,69089c426cf086dbba650ef5,f6016,1,1.7,1.85,2.7,,3.15,8.49,available,2025-11-07 11:57:59,2025-12-08 00:11:37
690dd0b76134045e0b1f4f00,6909f710a433690a11909b40,f6017,1,3.15,1.85,2.7,,5.83,15.73,available,2025-11-07 11:57:59,2025-11-07 11:57:59
690dd0b7dd78b46b08231edd,690dcfecdd78b46b081d9cf8,f6018,1,1.9,2.3,2.7,,4.37,11.8,available,2025-11-07 11:57:59,2025-12-15 11:55:46
690dd0b7dd78b46b08231f76,690dcfecdd78b46b081d9cf8,f6019,1,1.9,2.3,2.7,,4.37,11.8,available,2025-11-07 11:57:59,2025-12-09 18:27:10
690dd0b7dd78b46b0823210a,690dcfecdd78b46b081d9cf8,f6020,1,1.9,2.3,2.7,,4.37,11.8,available,2025-11-07 11:57:59,2026-01-26 09:53:24
690dd8e96134045e0b2f96c9,6909d6bb26c223f960eacd72,g7000,1,1.45,3.35,2.7,,4.86,13.12,occupied,2025-11-07 12:32:57,2025-11-24 16:56:29
690dd8e96134045e0b2f9c40,690dcf556134045e0b181598,g7001,1,1.5,1.99,2.7,,2.99,8.06,available,2025-11-07 12:32:57,2026-01-19 10:08:33
690dd8eadd78b46b0832a5ff,6909f711a433690a11909c98,g7002,1,1.99,0.93,2.7,,1.85,5,blocked,2025-11-07 12:32:58,2025-12-01 15:14:12
690dd8eadd78b46b0832a6a2,6909f711a433690a11909bb2,g7003,1,1.13,2.98,2.7,,3.37,9.09,occupied,2025-11-07 12:32:58,2025-11-24 16:56:30
